Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Poise,Weapon Type,2H Dual-Wield
Dagger,Dagger,None,None,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Heavy Dagger,Dagger,Heavy,Heavy,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Keen Dagger,Dagger,Keen,Keen,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Quality Dagger,Dagger,Quality,Quality,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Fire Dagger,Dagger,Fire,Fire,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Flame Art Dagger,Dagger,Flame Art,Flame Art,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Lightning Dagger,Dagger,Lightning,Lightning,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Sacred Dagger,Dagger,Sacred,Sacred,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Magic Dagger,Dagger,Magic,Magic,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Cold Dagger,Dagger,Cold,Cold,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Poison Dagger,Dagger,Poison,Poison,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Blood Dagger,Dagger,Blood,Blood,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Occult Dagger,Dagger,Occult,Occult,25,5,9,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Black Knife,Black Knife,None,-,10,8,12,0,18,0,Slash/Pierce,2,3,Dagger,No
Parrying Dagger,Parrying Dagger,None,None,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Heavy Parrying Dagger,Parrying Dagger,Heavy,Heavy,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Keen Parrying Dagger,Parrying Dagger,Keen,Keen,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
Quality Parrying Dagger,Parrying Dagger,Quality,Quality,25,5,14,0,0,0,Slash/Pierce,1.5,3,Dagger,No
