Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,Backstab,Riposte,Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagger,Dagger,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,364,520,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Parrying Dagger,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Miséricorde,100,101,102,103,104,110,120,120,155,155,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,160,160,110,125,95,95,112,127,150,100,101,102,103,104,110,392,560,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Great Knife,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,130,130,165,165,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Bloodstained Dagger,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Erdsteel Dagger,100,101,102,103,104,110,90 + 90,90 + 90,110 + 110,90 + 90 + 100,105,120,90,90,107,122,140,103,104,105,106,107,115,90 + 95,90 + 95,110 + 115,95 + 95 + 105,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Wakizashi,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,280,400,,,,,,90 + 100,90 + 100,90 + 100,110 + 110,,,90 + 110,100 + 100,90 + 90,130 + 100,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Celebrant's Sickle,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,130,130,165,165,110,125,95,95,112,127,150,100,101,102,103,104,110,280,400,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Ivory Sickle,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,130,130,165,165,110,125,95,95,112,127,150,100,101,102,103,104,110,280,400,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Crystal Knife,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,280,400,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Scorpion's Stinger,100,101,102,103,104,110,120,120,155,155,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,160,160,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Cinquedea,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,280,400,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Glintstone Kris,100,101,102,103,104,110,120,120,155,155,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,160,160,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Reduvia,100,101,102,103,104,110,120,120,150,150,105,120,90,90,107,122,140,103,104,105,106,107,115,125,125,155,155,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Blade of Calling,100,101,102,103,104,110,90 + 90,90 + 90,110 + 110,90 + 90 + 100,105,120,90,90,107,122,140,103,104,105,106,107,115,90 + 95,90 + 95,110 + 115,95 + 95 + 105,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
Dagger,Black Knife,100,101,102,103,104,110,90 + 90,90 + 90,110 + 110,90 + 90 + 100,105,120,90,90,107,122,140,103,104,105,106,107,115,90 + 95,90 + 95,110 + 115,95 + 95 + 105,110,125,95,95,112,127,150,100,101,102,103,104,110,308,440,,,,,,80 + 80 + 80,98 + 98,100 + 100,84 + 84 + 84,,,95 + 100,84 + 84,84 + 84,96 + 96,,110,110,110,135,90,170,110,110,110,135,90,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Sword,Short Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Longsword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Broadsword,100,101,102,103,110,,120,120,155,155,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,93,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Weathered Straight Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Lordsworn's Straight Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,220,330,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Noble's Slender Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,220,330,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Cane Sword,100,101,102,103,110,,120,120,155,155,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,93,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Warhawk's Talon,100,101,102,103,110,,75 + 105,120,75 + 130,75 + 130,105,120,90,90,107,127,125,103,104,105,106,113,,80 + 110,125,80 + 135,80 + 135,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Lazuli Glintstone Sword,100,101,102,103,110,,120,120,150,150,105,120,90,90,107,127,125,103,104,105,106,113,,125,125,155,155,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Carian Knight's Sword,100,101,102,103,110,,120,120,150,150,105,120,90,90,107,127,125,103,104,105,106,113,,125,125,155,155,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Crystal Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Rotten Crystal Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Miquellan Knight's Sword,100,101,102,103,110,,125,125,165,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,170,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Ornamental Straight Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,92 + 92,94 + 94,96 + 96,102 + 102,113,,125,125,155,155,95 + 100,100 + 105,85 + 85,85 + 85,88 + 90 + 88,105 + 105,125,100,101,102,103,115,,220,330,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Golden Epitaph,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Sword of St. Trina,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Regalia of Eochaid,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Coded Sword,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
Straight Sword,Sword of Night and Flame,100,101,102,103,110,,125,125,160,160,105,120,90,90,107,127,125,103,104,105,106,113,,130,130,165,165,110,125,95,95,112,132,130,100,101,102,103,115,,200,300,,,,,,92 + 92,94 + 94,96 + 96,102 + 102,,,100 + 95,85 + 85,85 + 85,105 + 105,,110,110,110,135,90,170,110,110,110,135,90,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greatsword,Bastard Sword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,103,104,105,115,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Claymore,100,101,102,110,,,125,125,165,165,105,120,90,90,107,130,125,103,104,105,115,,,130,130,170,170,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Iron Greatsword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,103,104,105,115,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Lordsworn's Greatsword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,103,104,105,115,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,220,275,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Knight's Greatsword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,102,103,104,113,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Banished Knight's Greatsword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,102,103,104,113,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Forked Greatsword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,103,104,105,115,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Flamberge,100,101,102,110,,,120,120,160,160,105,120,90,90,107,130,125,103,104,105,115,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
Greatsword,Gargoyle's Greatsword,100,101,102,110,,,125,125,160,160,105,120,90,90,107,130,125,103,104,105,115,,,130,130,165,165,110,125,95,95,110,135,130,100,101,102,110,,,200,250,,,,,,92 + 92,94 + 94,96 + 96,,,,100 + 100,85 + 85,85 + 85,115 + 115,,110,110,110,140,90,180,110,110,110,140,90,180
